zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate,utility_type
79932,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79903,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79906,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79901,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79851,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79916,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79904,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79911,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79928,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79838,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79935,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79915,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79908,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79855,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79821,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79922,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79918,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79925,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79930,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79907,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79839,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79849,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79902,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79835,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79938,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79968,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79927,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79934,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79836,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79936,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79912,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79853,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79924,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
79905,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
88523,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
88520,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
88521,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
88526,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.0891801885939194,0.0466106973744411,0.1205528746562289,IOU
