X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-10473459.5714,3964263.9387,41644,156744,UNKNOWN156744,TEXARKANA,TX,75503,SUBSTATION,IN SERVICE,BOWIE,48037,USA,33.5180042200001,-94.084688106,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016/09/16 00:00:00+00,IMAGERY,2016/09/16 00:00:00+00,2,69.0,69.0,N,N
-10468306.9143,3758030.5786,46784,161924,TAP161924,JOAQUIN,TX,75954,TAP,IN SERVICE,SHELBY,48419,USA,31.9597670000001,-94.038401,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/26 00:00:00+00,IMAGERY,2019/03/26 00:00:00+00,2,138.0,138.0,N,N
-10468277.5764,3757988.0883,46785,161925,UNKNOWN161925,JOAQUIN,TX,75954,SUBSTATION,IN SERVICE,SHELBY,48419,USA,31.95944316,-94.038137453,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/26 00:00:00+00,IMAGERY,2019/03/26 00:00:00+00,0,-999999.0,-999999.0,Y,Y
-11155285.2781,4144043.1297,48500,166905,UNKNOWN166905,WELLINGTON,TX,79095,SUBSTATION,NOT AVAILABLE,COLLINGSWORTH,48087,USA,34.853890489,-100.20963264,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/07/03 00:00:00+00,IMAGERY,2019/07/03 00:00:00+00,0,-999999.0,-999999.0,N,N
-10495904.7972,3784287.567,54090,172446,TAP172446,CARTHAGE,TX,75633,TAP,NOT AVAILABLE,PANOLA,48365,USA,32.1596660000001,-94.2863169999999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/04/13 00:00:00+00,IMAGERY,2020/04/13 00:00:00+00,2,-999999.0,-999999.0,N,N
-10474585.4449,3514970.2706,54362,172753,UNKNOWN172753,BEAUMONT,TX,77701,SUBSTATION,IN SERVICE,JEFFERSON,48245,USA,30.088807,-94.094802,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/04/13 00:00:00+00,IMAGERY,2020/04/13 00:00:00+00,0,69.0,69.0,Y,Y
-11330997.5684,4369490.9514,54363,172760,UNKNOWN172760,TEXHOMA,TX,73949,SUBSTATION,IN SERVICE,SHERMAN,48421,USA,36.4989200000001,-101.788083,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/04/13 00:00:00+00,IMAGERY,2020/04/13 00:00:00+00,2,69.0,69.0,Y,Y
-11295164.2865,4368534.972,54980,173370,UNKNOWN173370,GRUVER,TX,79040,SUBSTATION,IN SERVICE,HANSFORD,48195,USA,36.492016307,-101.466187152,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/04/29 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,0,-999999.0,-999999.0,N,N
-11294837.5489,4368675.0312,55983,175131,UNKNOWN175131,GRUVER,TX,79040,SUBSTATION,NOT AVAILABLE,HANSFORD,48195,USA,36.493027796,-101.463252018,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/11/06 00:00:00+00,IMAGERY,2020/11/06 00:00:00+00,0,-999999.0,-999999.0,N,N
-11294966.9001,4368629.3647,55984,175132,UNKNOWN175132,GRUVER,TX,79040,SUBSTATION,NOT AVAILABLE,HANSFORD,48195,USA,36.4926980000001,-101.464414,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/11/06 00:00:00+00,IMAGERY,2020/11/06 00:00:00+00,0,-999999.0,-999999.0,N,N
-11294827.8621,4368622.3028,55985,175133,TAP175133,GRUVER,TX,79040,TAP,NOT AVAILABLE,HANSFORD,48195,USA,36.492647,-101.463165,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020/11/06 00:00:00+00,IMAGERY,2020/11/06 00:00:00+00,1,-999999.0,-999999.0,N,N
-10490153.1193,3513750.4193,56621,175814,UNKNOWN175814,BEAUMONT,TX,77713,SUBSTATION,NOT AVAILABLE,JEFFERSON,48245,USA,30.0793250470001,-94.234648798,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2021/01/07 00:00:00+00,IMAGERY,2021/01/07 00:00:00+00,0,-999999.0,-999999.0,N,N
-11374049.0216,3989203.6589,68089,300001,UNKNOWN300001,WHITHARRAL,TX,79336,SUBSTATION,IN SERVICE,HOCKLEY,48219,USA,33.704585062,-102.174820784,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/12 00:00:00+00,IMAGERY,2017/04/12 00:00:00+00,1,69.0,69.0,Y,Y
