zip,n_utilities,n_substations,utilities_norm,substations_norm,tmps_score,rank
79336,4,36,0.49999999991666666,0.8999999999775001,0.7399999999531668,1
77705,1,40,0.0,0.9999999999750001,0.5999999999850001,2
78155,5,19,0.6666666665555555,0.47499999998812503,0.5516666666150972,3
77807,7,10,0.9999999998333333,0.24999999999375003,0.5499999999295834,4
77845,6,13,0.8333333331944445,0.324999999991875,0.5283333332729028,5
79323,3,26,0.33333333327777775,0.64999999998375,0.5233333333013611,6
79360,3,25,0.33333333327777775,0.624999999984375,0.5083333333017361,7
79549,2,29,0.16666666663888888,0.724999999981875,0.5016666666446806,8
79735,2,28,0.16666666663888888,0.6999999999825001,0.4866666666450556,9
77833,6,9,0.8333333331944445,0.22499999999437503,0.46833333327440285,10
77630,1,31,0.0,0.7749999999806251,0.46499999998837505,11
79072,3,22,0.33333333327777775,0.54999999998625,0.4633333333028611,12
75455,4,17,0.49999999991666666,0.42499999998937504,0.45499999996029167,13
77523,1,29,0.0,0.724999999981875,0.43499999998912503,14
79045,2,24,0.16666666663888888,0.5999999999850001,0.42666666664655556,15
79720,3,19,0.33333333327777775,0.47499999998812503,0.41833333330398614,16
77640,1,27,0.0,0.6749999999831251,0.40499999998987507,17
77859,5,9,0.6666666665555555,0.22499999999437503,0.4016666666188472,18
79346,4,13,0.49999999991666666,0.324999999991875,0.3949999999617917,19
79065,4,13,0.49999999991666666,0.324999999991875,0.3949999999617917,20
79355,3,17,0.33333333327777775,0.42499999998937504,0.3883333333047361,21
79339,3,16,0.33333333327777775,0.39999999999,0.3733333333051111,22
79714,2,20,0.16666666663888888,0.49999999998750005,0.3666666666480556,23
75672,4,11,0.49999999991666666,0.274999999993125,0.3649999999625417,24
79040,4,11,0.49999999991666666,0.274999999993125,0.3649999999625417,25
79407,4,11,0.49999999991666666,0.274999999993125,0.3649999999625417,26
79373,4,11,0.49999999991666666,0.274999999993125,0.3649999999625417,27
76234,4,10,0.49999999991666666,0.24999999999375003,0.3499999999629167,28
79201,4,10,0.49999999991666666,0.24999999999375003,0.3499999999629167,29
77964,6,1,0.8333333331944445,0.024999999999375,0.3483333332774028,30
79027,3,14,0.33333333327777775,0.34999999999125003,0.34333333330586113,31
76240,3,14,0.33333333327777775,0.34999999999125003,0.34333333330586113,32
76932,3,14,0.33333333327777775,0.34999999999125003,0.34333333330586113,33
78666,3,14,0.33333333327777775,0.34999999999125003,0.34333333330586113,34
79601,2,18,0.16666666663888888,0.44999999998875007,0.33666666664880557,35
79070,3,13,0.33333333327777775,0.324999999991875,0.3283333333062361,36
77957,5,4,0.6666666665555555,0.0999999999975,0.3266666666207222,37
75633,4,8,0.49999999991666666,0.199999999995,0.3199999999636667,38
77442,4,8,0.49999999991666666,0.199999999995,0.3199999999636667,39
79424,4,8,0.49999999991666666,0.199999999995,0.3199999999636667,40
79403,3,12,0.33333333327777775,0.29999999999250004,0.3133333333066111,41
78132,3,12,0.33333333327777775,0.29999999999250004,0.3133333333066111,42
79404,3,12,0.33333333327777775,0.29999999999250004,0.3133333333066111,43
78880,5,3,0.6666666665555555,0.07499999999812501,0.3116666666210972,44
79556,2,16,0.16666666663888888,0.39999999999,0.30666666664955555,45
77802,4,7,0.49999999991666666,0.17499999999562502,0.3049999999640417,46
75846,4,7,0.49999999991666666,0.17499999999562502,0.3049999999640417,47
79423,4,7,0.49999999991666666,0.17499999999562502,0.3049999999640417,48
76031,3,11,0.33333333327777775,0.274999999993125,0.2983333333069861,49
79235,3,11,0.33333333327777775,0.274999999993125,0.2983333333069861,50
79041,4,6,0.49999999991666666,0.14999999999625002,0.28999999996441667,51
78130,4,6,0.49999999991666666,0.14999999999625002,0.28999999996441667,52
77868,4,6,0.49999999991666666,0.14999999999625002,0.28999999996441667,53
75657,4,6,0.49999999991666666,0.14999999999625002,0.28999999996441667,54
79022,4,6,0.49999999991666666,0.14999999999625002,0.28999999996441667,55
79325,3,10,0.33333333327777775,0.24999999999375003,0.2833333333073611,56
75668,3,10,0.33333333327777775,0.24999999999375003,0.2833333333073611,57
79257,3,10,0.33333333327777775,0.24999999999375003,0.2833333333073611,58
79007,2,14,0.16666666663888888,0.34999999999125003,0.2766666666503056,59
79331,2,14,0.16666666663888888,0.34999999999125003,0.2766666666503056,60
77808,4,5,0.49999999991666666,0.12499999999687501,0.2749999999647917,61
79343,4,5,0.49999999991666666,0.12499999999687501,0.2749999999647917,62
78006,4,5,0.49999999991666666,0.12499999999687501,0.2749999999647917,63
77840,4,5,0.49999999991666666,0.12499999999687501,0.2749999999647917,64
77701,1,18,0.0,0.44999999998875007,0.26999999999325003,65
75686,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,66
79311,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,67
76936,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,68
78028,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,69
76528,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,70
79035,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,71
78801,3,9,0.33333333327777775,0.22499999999437503,0.2683333333077361,72
77836,5,0,0.6666666665555555,0.0,0.2666666666222222,73
75555,5,0,0.6666666665555555,0.0,0.2666666666222222,74
76943,2,13,0.16666666663888888,0.324999999991875,0.26166666665068056,75
78521,2,13,0.16666666663888888,0.324999999991875,0.26166666665068056,76
79241,2,13,0.16666666663888888,0.324999999991875,0.26166666665068056,77
79081,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,78
79356,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,79
77837,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,80
75948,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,81
76567,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,82
76577,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,83
75457,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,84
75480,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,85
79059,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,86
75559,4,4,0.49999999991666666,0.0999999999975,0.25999999996516665,87
75503,3,8,0.33333333327777775,0.199999999995,0.25333333330811114,88
79347,3,8,0.33333333327777775,0.199999999995,0.25333333330811114,89
