utility_name,utility_type,ownership,n_top_zips_covered
Southwestern Public Service Co,IOU,Investor Owned,20
South Plains Electric Coop Inc,NON_IOU,Cooperative,12
Entergy Texas Inc.,IOU,Investor Owned,10
"Lyntegar Electric Coop, Inc",NON_IOU,Cooperative,10
Guadalupe Valley Elec Coop Inc,NON_IOU,Cooperative,5
"Big Country Electric Coop, Inc",NON_IOU,Cooperative,5
City of Lubbock - (TX),NON_IOU,Municipal,5
"Bluebonnet Electric Coop, Inc",NON_IOU,Cooperative,5
Southwestern Electric Power Co,IOU,Investor Owned,5
Mid-South Electric Coop Assn,NON_IOU,Cooperative,5
Heart of Texas Electric Coop,NON_IOU,Cooperative,4
"Lamb County Electric Coop, Inc",NON_IOU,Cooperative,4
"Bartlett Electric Coop, Inc",NON_IOU,Cooperative,4
"Pedernales Electric Coop, Inc",NON_IOU,Cooperative,4
North Plains Electric Coop Inc,NON_IOU,Cooperative,3
"Wharton County Elec Coop, Inc",NON_IOU,Cooperative,3
"Jackson Electric Coop, Inc - (TX)",NON_IOU,Cooperative,3
"Lea County Electric Coop, Inc",NON_IOU,Cooperative,3
"Lighthouse Electric Coop, Inc",NON_IOU,Cooperative,3
"Rio Grande Electric Coop, Inc",NON_IOU,Cooperative,3
"San Bernard Electric Coop, Inc",NON_IOU,Cooperative,3
City of College Station - (TX),NON_IOU,Municipal,3
City of Bryan - (TX),NON_IOU,Municipal,3
Bailey County Elec Coop Assn,NON_IOU,Cooperative,2
Upshur Rural Elec Coop Corp,NON_IOU,Cooperative,2
"Tri-County Electric Coop, Inc (OK)",NON_IOU,Cooperative,2
"Victoria Electric Coop, Inc",NON_IOU,Cooperative,2
"Panola-Harrison Elec Coop, Inc",NON_IOU,Cooperative,2
"Navasota Valley Elec Coop, Inc",NON_IOU,Cooperative,2
"Greenbelt Electric Coop, Inc",NON_IOU,Cooperative,2
"Southwest Texas Elec Coop, Inc",NON_IOU,Cooperative,2
"Rusk County Electric Coop, Inc",NON_IOU,Cooperative,2
City of San Antonio - (TX),NON_IOU,Municipal,2
Cooke County Elec Coop Assn,NON_IOU,Cooperative,2
"Denton County Elec Coop, Inc",NON_IOU,Cooperative,2
Concho Valley Elec Coop Inc,NON_IOU,Cooperative,2
"Deaf Smith Electric Coop, Inc",NON_IOU,Cooperative,2
"Fayette Electric Coop, Inc",NON_IOU,Cooperative,2
"Bandera Electric Coop, Inc",NON_IOU,Cooperative,1
"Bowie-Cass Electric Coop, Inc",NON_IOU,Cooperative,1
"Grayson-Collin Elec Coop, Inc",NON_IOU,Cooperative,1
"Farmers Electric Coop, Inc - (TX)",NON_IOU,Cooperative,1
Deep East Texas Elec Coop Inc,NON_IOU,Cooperative,1
Comanche County Elec Coop Assn,NON_IOU,Cooperative,1
City of Seguin - (TX),NON_IOU,Municipal,1
City of San Marcos - (TX),NON_IOU,Municipal,1
"Central Texas Elec Coop, Inc",NON_IOU,Cooperative,1
City of Brenham - (TX),NON_IOU,Municipal,1
"Medina Electric Coop, Inc",NON_IOU,Cooperative,1
Houston County Elec Coop Inc,NON_IOU,Cooperative,1
"HILCO Electric Cooperative, Inc.",NON_IOU,Cooperative,1
"Rita Blanca Electric Coop, Inc",NON_IOU,Cooperative,1
United Electric Coop Service Inc - (TX),NON_IOU,Cooperative,1
"Tri-County Electric Coop, Inc (TX)",NON_IOU,Cooperative,1
Taylor Electric Coop Inc - (TX),NON_IOU,Cooperative,1
Wise Electric Coop Inc,NON_IOU,Cooperative,1
